127.0.0.1 - - [25/Jan/2024:15:32:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:32:39 +0530] "GET /project_3/ HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:32:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:32:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:32:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:33:01 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7187
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:33:21 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:33:21 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10009
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:33:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:35:05 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20406
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:35:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:35:43 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 20696
0:0:0:0:0:0:0:1 - - [25/Jan/2024:15:35:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:37:37 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:56:26 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:57:00 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:03:22 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:03:22 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20404
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:03:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:03:53 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20404
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:03:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jan/2024:18:12:04 +0530] "GET /project_3/ HTTP/1.1" 200 710
